id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
83046,44781,Puyo Puyo SUN Ketteiban,"Satan has once again decided to create another test by using special magic to pull the Sun closer to the Earth on a remote island. This created a semi-resort, in which characters have decided to visit. Arle, together with Carbuncle, find the sun too hot, and see the building that Satan's emanating his own heat wave. Draco loves the hot weather and appears in a bikini, whereas Schezo, who takes refuge in a cave, finds that it's just not cool enough, and decides to find out what's happening.",1997-12-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83472,761,Jack Nicklaus 5,NULL,1997-10-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83499,45501,Christmas NiGHTS into Dreams,NULL,1997-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83521,146266,Kaeru nyo Panyo~n,NULL,1997-08-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83617,71373,Forbes Corporate Warrior,NULL,1997-08-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83723,147441,The Lost World: Jurassic Park,NULL,1997-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83724,45227,Umihara Kawase Shun,NULL,1997-02-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83751,71359,Kaze no NOTAM,NULL,1997-09-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83933,37482,Sotsugyou Graduation for WonderSwan,NULL,1997-09-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84003,45023,Porsche Challenge,NULL,1997-08-15 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
84267,3572,PD Ultraman Battle Collection 64,NULL,1997-07-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84653,45476,Winter Heat,NULL,1997-12-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84663,4127,Grandia,"The game is set in a fantasy world of emerging technology and exploration. A young boy named Justin inherits a magic stone that leads him on a journey around the world to uncover the mystery of a long-lost civilization. Along the way, he meets other adventurers who join him on his quest, which draws the attention of the militaristic Garlyle Forces who seek to uncover the secrets of the past as well. Grandia received a largely positive critical response during its original release, and was voted by readers of Japan's highly circulated Famitsu magazine as the 73rd greatest game of all time in a 2006 poll.",1997-12-18 00:00:00.000,24,NULL,NULL,NULL,77.2258,36
84875,185629,Sextris,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
85047,1485,Solar Assault,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
85264,1201,Tales of Destiny,NULL,1997-12-23 00:00:00.000,5,NULL,NULL,NULL,82.9617,20
85309,148515,My Teacher is an Alien,"Does your teacher wear weird clothes? You've always suspected that one of your teachers came from another planet -- but you just found out that it's true!  In this all-new CD-ROM action-adventure game, you and your friends need to think fast and act even faster to survive. Fight your way through a series of arcade games and collect clues to figure out which teacher is the alien. Then convince your parents, the principal, the police - anyone who will listen - that you're right! You have just one week to stop the alien spaceship before it returns to its home planet with six of your classmates - and maybe you, too.",1997-10-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
85397,69724,To Heart,NULL,1997-05-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
85632,45430,Airs Adventure,NULL,1997-01-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86019,64507,Soreyuke!! Kid: Go! Go! Kid,NULL,1997-07-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86333,119139,Black Raven,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86481,2493,Halls of the Dead: Faery Tale Adventure II,NULL,1997-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
86487,39470,Sega Water Ski,NULL,1997-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86591,58512,Koushien V,NULL,1997-05-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86705,134150,Jane's Combat Simulations: Advanced Tactical Fighters Gold,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86900,55901,Wizard's Harmony 2,NULL,1997-10-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87001,7721,The Day the World Broke,NULL,1997-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
87130,170336,Heisei Shin Onigashima,"Once upon a time, there was an elderly couple living in Nagakushi village, a small village located far up in the mountains. The couple had no children, until one day, they were entrusted with the care of an infant boy and girl, as prophesied in a dream. The years went by, and when the two children were 8 years old, there was a terrible occurrence in the western capital. An evil dragon suddenly appeared in the city, turning humans into oni, ogres that suck away the souls of other humans. The oni advanced as far as Nagakushi village, stealing away the souls of the elderly couple. Fortunately the two children were left unharmed, and they set out on a quest to save their adopted parents, not realizing that this adventure would reveal the secret of their true origins...",1997-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87245,38607,Chuugokuryuu II,NULL,1997-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87463,144077,Warheads,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87476,77250,Lethal Enforcers I & II,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87600,73948,Farland Saga: Toki no Michishirube,"Eight years have passed since the great war between humans and magical people. Brian, one of the war's great heroes, died peacefully, leaving behind the girl Kalin, of whom he had been taking care all the years following the war. Kalin leaves her country and goes on a ship to look for a job as a mercenary. On her way she meets Al, a boy who wanders around aimlessly, suffering from amnesia. Together, they reach a town where they receive jobs in the local guild. One of their assignments involves busting a pirate ship, and that is where their great adventure begins...",1997-05-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87654,60506,Orly's Draw-A-Story,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87696,70758,Farland Story: Yottsu no Fuuin,NULL,1997-06-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87795,4473,World Series Baseball 98,NULL,1997-03-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87926,39879,B. C. Story,NULL,1997-04-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87946,43924,Arcade's Greatest Hits: The Midway Collection 2,NULL,1997-11-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87971,61389,Marica: Shinjitsu no Sekai,NULL,1997-06-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
88021,48379,RacerMate Challenge II,NULL,1997-01-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
88030,69758,Wing Commander: Prophecy - Special Edition,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
